"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2010","1,214.81","1,211.45","1,216.15","1,203.01","","0.22%"
"05/27/2010","1,212.10","1,212.15","1,219.35","1,206.60","","0.10%"
"05/26/2010","1,210.90","1,202.55","1,217.21","1,201.10","","0.82%"
"05/25/2010","1,201.10","1,191.40","1,204.95","1,185.90","","0.76%"
"05/24/2010","1,192.05","1,176.93","1,197.00","1,176.48","","1.27%"
"05/21/2010","1,177.15","1,182.30","1,189.35","1,168.50","","-0.50%"
"05/20/2010","1,183.10","1,192.65","1,198.80","1,175.35","","-0.73%"
"05/19/2010","1,191.75","1,223.90","1,228.10","1,187.62","","-2.45%"
"05/18/2010","1,221.70","1,222.30","1,229.85","1,207.35","","-0.17%"
"05/17/2010","1,223.75","1,231.50","1,243.10","1,219.45","","-0.75%"
"05/14/2010","1,233.05","1,232.45","1,249.45","1,219.55","","0.06%"
"05/13/2010","1,232.33","1,235.20","1,243.35","1,227.95","","-0.41%"
"05/12/2010","1,237.35","1,231.00","1,249.15","1,227.40","","0.39%"
"05/11/2010","1,232.55","1,200.70","1,234.15","1,200.70","","2.51%"
"05/10/2010","1,202.40","1,202.35","1,206.00","1,184.35","","-0.49%"
"05/07/2010","1,208.30","1,207.25","1,213.85","1,193.15","","-0.04%"
"05/06/2010","1,208.75","1,176.10","1,211.35","1,173.35","","2.85%"
"05/05/2010","1,175.20","1,171.75","1,177.31","1,158.20","","0.30%"
"05/04/2010","1,171.65","1,181.75","1,192.40","1,167.16","","-0.91%"
"05/03/2010","1,182.40","1,179.00","1,187.91","1,176.30","","0.27%"
"04/30/2010","1,179.25","1,168.70","1,182.05","1,161.88","","1.04%"
"04/29/2010","1,167.10","1,164.95","1,171.75","1,162.55","","0.14%"
"04/28/2010","1,165.45","1,168.03","1,174.68","1,160.65","","-0.64%"
"04/27/2010","1,172.93","1,153.78","1,172.93","1,146.55","","1.56%"
"04/26/2010","1,154.88","1,156.50","1,160.23","1,151.05","","-0.22%"
"04/23/2010","1,157.40","1,141.50","1,158.00","1,135.45","","1.40%"
"04/22/2010","1,141.45","1,145.75","1,149.50","1,132.15","","-0.42%"
"04/21/2010","1,146.30","1,140.20","1,150.90","1,138.25","","0.51%"
"04/20/2010","1,140.50","1,135.70","1,146.30","1,133.45","","0.43%"
"04/19/2010","1,135.60","1,134.65","1,138.45","1,124.15","","-0.16%"
"04/16/2010","1,137.45","1,158.80","1,160.45","1,130.65","","-1.86%"
"04/15/2010","1,158.95","1,155.30","1,162.30","1,150.85","","0.35%"
"04/14/2010","1,154.90","1,151.30","1,162.60","1,150.80","","0.33%"
"04/13/2010","1,151.15","1,155.55","1,157.90","1,145.75","","-0.07%"
"04/12/2010","1,152.00","1,165.69","1,169.19","1,152.00","","-0.77%"
"04/09/2010","1,160.90","1,150.95","1,165.35","1,149.70","","0.85%"
"04/08/2010","1,151.15","1,149.45","1,154.65","1,144.40","","0.27%"
"04/07/2010","1,148.00","1,134.15","1,153.25","1,132.80","","1.22%"
"04/06/2010","1,134.20","1,130.65","1,138.90","1,123.00","","0.31%"
"04/05/2010","1,130.70","1,125.10","1,134.20","1,119.20","","0.91%"
"04/02/2010","1,120.50","1,125.00","1,125.00","1,120.00","","-0.53%"
"04/01/2010","1,126.50","1,113.40","1,128.75","1,112.35","","1.14%"
"03/31/2010","1,113.80","1,103.70","1,118.90","1,102.45","","0.92%"
"03/30/2010","1,103.60","1,110.25","1,114.15","1,102.45","","-0.50%"
"03/29/2010","1,109.20","1,110.55","1,115.45","1,104.35","","0.23%"
"03/26/2010","1,106.60","1,089.55","1,110.65","1,088.85","","1.40%"
"03/25/2010","1,091.35","1,086.50","1,095.95","1,085.45","","0.35%"
"03/24/2010","1,087.50","1,101.75","1,105.40","1,085.35","","-1.37%"
"03/23/2010","1,102.65","1,102.45","1,108.05","1,094.80","","0.03%"
"03/22/2010","1,102.30","1,107.40","1,108.85","1,092.75","","-0.47%"
"03/19/2010","1,107.55","1,125.95","1,127.50","1,101.95","","-1.63%"
"03/18/2010","1,125.95","1,124.00","1,129.55","1,118.40","","0.08%"
"03/17/2010","1,125.05","1,126.10","1,133.80","1,118.85","","-0.06%"
"03/16/2010","1,125.70","1,109.45","1,129.45","1,109.05","","1.50%"
"03/15/2010","1,109.10","1,100.50","1,109.80","1,100.35","","0.60%"
"03/12/2010","1,102.45","1,109.65","1,119.45","1,098.65","","-0.63%"
"03/11/2010","1,109.45","1,108.35","1,111.65","1,100.44","","0.11%"
"03/10/2010","1,108.20","1,121.65","1,128.15","1,103.25","","-1.06%"
"03/09/2010","1,120.10","1,123.30","1,124.70","1,108.95","","-0.20%"
"03/08/2010","1,122.40","1,135.70","1,137.80","1,118.55","","-0.85%"
"03/05/2010","1,132.05","1,131.80","1,140.70","1,127.00","","0.00%"
"03/04/2010","1,132.00","1,139.80","1,141.60","1,126.10","","-0.66%"
"03/03/2010","1,139.50","1,134.85","1,145.00","1,132.40","","0.43%"
"03/02/2010","1,134.65","1,118.75","1,137.75","1,115.10","","1.55%"
"03/01/2010","1,117.35","1,116.55","1,123.70","1,112.05","","0.08%"
"02/26/2010","1,116.50","1,105.00","1,119.20","1,104.40","","0.94%"
"02/25/2010","1,106.10","1,097.60","1,109.15","1,088.60","","0.88%"
"02/24/2010","1,096.40","1,103.40","1,108.35","1,089.85","","-0.51%"
"02/23/2010","1,102.05","1,113.80","1,121.20","1,099.35","","-1.05%"
"02/22/2010","1,113.70","1,124.90","1,131.05","1,109.70","","-0.46%"
"02/19/2010","1,118.85","1,111.30","1,126.95","1,098.95","","-0.45%"
"02/18/2010","1,123.90","1,106.35","1,124.05","1,098.20","","0.78%"
"02/17/2010","1,115.20","1,119.25","1,127.25","1,111.70","","-0.42%"
"02/16/2010","1,119.95","1,099.60","1,121.20","1,097.85","","1.72%"
"02/15/2010","1,101.00","1,092.85","1,102.65","1,092.00","","0.70%"
"02/12/2010","1,093.40","1,096.70","1,097.35","1,078.55","","-0.18%"
"02/11/2010","1,095.35","1,072.00","1,098.15","1,071.35","","2.10%"
"02/10/2010","1,072.85","1,077.45","1,082.50","1,063.50","","-0.41%"
"02/09/2010","1,077.30","1,062.95","1,083.45","1,061.80","","1.27%"
"02/08/2010","1,063.75","1,067.40","1,073.90","1,061.90","","-0.16%"
"02/05/2010","1,065.45","1,063.15","1,069.15","1,044.25","","0.19%"
"02/04/2010","1,063.45","1,109.30","1,111.10","1,059.50","","-4.16%"
"02/03/2010","1,109.65","1,114.40","1,124.85","1,107.20","","-0.50%"
"02/02/2010","1,115.20","1,105.80","1,118.35","1,099.00","","0.71%"
"02/01/2010","1,107.35","1,080.10","1,107.90","1,076.80","","2.39%"
"01/29/2010","1,081.55","1,087.20","1,090.60","1,074.85","","-0.44%"
"01/28/2010","1,086.30","1,087.80","1,096.35","1,074.15","","-0.05%"
"01/27/2010","1,086.85","1,097.70","1,102.70","1,083.65","","-1.02%"
"01/26/2010","1,098.05","1,098.40","1,103.55","1,085.80","","-0.02%"
"01/25/2010","1,098.25","1,091.05","1,104.20","1,091.05","","0.48%"
"01/22/2010","1,093.00","1,094.65","1,099.15","1,082.30","","-0.20%"
"01/21/2010","1,095.15","1,111.65","1,117.85","1,088.70","","-1.49%"
"01/20/2010","1,111.70","1,138.50","1,141.60","1,107.40","","-2.32%"
"01/19/2010","1,138.10","1,132.05","1,140.80","1,129.00","","0.45%"
"01/18/2010","1,133.00","1,129.40","1,137.55","1,126.75","","0.19%"
"01/15/2010","1,130.90","1,143.10","1,146.60","1,127.50","","-1.08%"
"01/14/2010","1,143.25","1,137.95","1,146.65","1,131.15","","0.39%"
"01/13/2010","1,138.80","1,128.50","1,138.85","1,119.75","","0.98%"
"01/12/2010","1,127.70","1,151.55","1,158.40","1,125.35","","-2.19%"
"01/11/2010","1,153.00","1,137.20","1,161.90","1,137.20","","1.44%"
"01/08/2010","1,136.60","1,131.85","1,139.80","1,119.95","","0.38%"
"01/07/2010","1,132.30","1,138.20","1,139.15","1,128.60","","-0.58%"
"01/06/2010","1,138.90","1,118.40","1,140.60","1,116.00","","1.77%"
"01/05/2010","1,119.05","1,121.30","1,128.10","1,115.25","","-0.12%"
"01/04/2010","1,120.40","1,096.25","1,123.80","1,093.45","","2.10%"
"01/01/2010","1,097.35","1,097.25","1,097.90","1,097.05","","0.10%"
"12/31/2009","1,096.20","1,093.15","1,107.10","1,092.10","","0.39%"
"12/30/2009","1,091.95","1,097.25","1,098.05","1,086.30","","-0.54%"
"12/29/2009","1,097.85","1,106.20","1,108.70","1,096.75","","-0.81%"
